month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
May,2008,1/5/2008,0.945945945946,0.677419354839,0.608695652174,1.5236149394,1.32925146955,0.765513776594
March,2003,1/3/2003,1.25,0.783783783784,0.837837837838,3.0103986447,2.19502059505,2.30760802229
April,2013,1/4/2013,1.04444444444,0.736842105263,0.633333333333,1.71212091416,1.3314853306,0.87496031656
September,2016,1/9/2016,1.24528301887,0.863636363636,0.777777777778,3.26158695242,3.23047216568,1.58308964986
January,2006,1/1/2006,1.29545454545,0.818181818182,0.882352941176,2.09522775345,1.21741269252,1.60449196435
June,2008,1/6/2008,0.862068965517,0.6,0.684210526316,1.04135647383,0.969535971483,0.920676614976
August,2009,1/8/2009,1.10256410256,0.758620689655,0.75,1.59799348214,1.0717427771,1.45467227532
October,2012,1/10/2012,1.09756097561,0.75,0.75,1.83203043495,1.46011795566,1.19895788083
July,2001,1/7/2001,0.951219512195,0.638888888889,0.615384615385,1.54527161575,1.18210682394,0.788226981997
August,2006,1/8/2006,0.90625,0.695652173913,0.590909090909,1.28353454862,1.15851413865,0.937069460368
October,2001,1/10/2001,1.10416666667,0.694444444444,0.777777777778,2.31156137107,1.15034884671,2.22499826606
February,2010,1/2/2010,1.41463414634,0.941176470588,0.764705882353,2.24124975759,1.66169963433,1.00172860976
December,2010,1/12/2010,1.17948717949,0.838709677419,0.689655172414,1.93313608461,1.34636366159,1.11736908593
November,2005,1/11/2005,0.972222222222,0.758620689655,0.764705882353,1.7557225659,1.10344827586,1.86387994327
September,2007,1/9/2007,0.851851851852,0.631578947368,0.647058823529,1.0436298373,0.871207650381,0.762440082166
May,2005,1/5/2005,0.977272727273,0.727272727273,0.703703703704,1.5298341616,1.0807608788,1.08234364416
January,2012,1/1/2012,1.25,0.871794871795,0.787878787879,2.4366985862,1.66686389366,1.70129319365
March,2000,1/3/2000,1.37288135593,0.818181818182,1.02272727273,2.84574201747,2.47966939945,1.94806006492
June,2002,1/6/2002,1.23255813953,0.848484848485,0.862068965517,2.19764365673,1.77731858165,1.40747114703
April,2008,1/4/2008,0.897435897436,0.692307692308,0.607142857143,1.39219199595,1.32343465647,0.816756901859
January,2001,1/1/2001,1.35714285714,1.0,0.818181818182,2.82481713333,2.24722050542,1.70923597063
June,2013,1/6/2013,1.13333333333,0.888888888889,0.76,1.78387842137,1.59474445493,1.2419339757
August,2012,1/8/2012,1.12195121951,0.75,0.758620689655,1.82389454594,1.08972473589,1.22207207908
October,2011,1/10/2011,1.40540540541,0.833333333333,0.964285714286,2.67581217233,1.26710518725,2.30654569892
July,2002,1/7/2002,1.11363636364,0.727272727273,0.833333333333,1.77374679308,1.21287855128,1.55098534988
February,2000,1/2/2000,1.50847457627,0.958333333333,0.955555555556,3.16962747828,2.73829580011,1.87326874806
January,2016,1/1/2016,1.38709677419,0.833333333333,0.938775510204,3.04988016004,1.91847740554,2.12284140799
November,2011,1/11/2011,1.17948717949,0.757575757576,0.75,2.18235105958,1.2316606929,1.90159707314
February,2015,1/2/2015,1.22916666667,0.815789473684,0.848484848485,2.6789268944,2.03722286663,1.53979951708
December,2005,1/12/2005,1.05128205128,0.727272727273,0.809523809524,1.76792965907,1.10844491868,1.33163156706
November,2006,1/11/2006,0.942857142857,0.678571428571,0.7,1.21755861444,0.965607559614,1.00498756211
May,2015,1/5/2015,1.32692307692,0.891304347826,0.8,2.76461955823,1.9696419987,1.76958429339
September,2004,1/9/2004,1.07692307692,0.714285714286,0.653846153846,1.81707874016,1.20881118865,0.997778597775
March,2010,1/3/2010,1.27777777778,0.925925925926,0.777777777778,1.9523648212,1.88416256918,1.06574033851
April,2006,1/4/2006,1.17647058824,0.84,0.76,1.74002346562,1.25475097131,1.14122740941
May,2002,1/5/2002,1.23076923077,0.815789473684,0.80487804878,2.09959139445,1.86173749009,1.38316554915
January,2015,1/1/2015,1.17647058824,0.828571428571,0.837837837838,2.67673991319,2.88330875692,1.47983771049
March,2005,1/3/2005,1.42553191489,0.794871794872,1.02857142857,2.15114695632,1.50519590989,1.76450258933
June,2007,1/6/2007,0.935483870968,0.714285714286,0.636363636364,1.18961863965,0.933138949632,0.71002269781
April,2011,1/4/2011,1.4,0.891891891892,0.857142857143,2.09125161885,1.67305811249,1.22224283635
July,2008,1/7/2008,1.08108108108,0.75,0.826086956522,1.93653882353,1.42991008708,1.37215076853
August,2015,1/8/2015,1.36538461538,0.818181818182,0.897435897436,3.06361303889,1.66886906824,2.55999671269
October,2006,1/10/2006,1.0,0.761904761905,0.714285714286,1.24434203368,1.19142819078,0.982846068598
July,2007,1/7/2007,0.909090909091,0.666666666667,0.761904761905,1.23983469973,0.992031745524,1.23074742698
February,2005,1/2/2005,1.15217391304,0.787878787879,0.794117647059,2.05328359828,1.85468409068,1.40961846663
November,2012,1/11/2012,1.28571428571,0.884615384615,0.733333333333,2.06427335636,1.62497155187,1.18133634311
September,2014,1/9/2014,0.978723404255,0.666666666667,0.782608695652,2.05756891978,1.33927248671,1.55916705018
December,2000,1/12/2000,1.14634146341,0.875,0.764705882353,2.24761093337,2.00649985464,1.43606536656
May,2012,1/5/2012,1.14,0.65,0.911764705882,2.12612323255,1.01365674664,1.70410658081
September,2001,1/9/2001,1.10869565217,0.6875,0.725,1.98064834433,1.42384821874,1.483028995
March,2015,1/3/2015,1.31111111111,0.84375,0.820512820513,2.76342961008,1.87265478332,1.59922729533
April,2001,1/4/2001,1.25,0.818181818182,0.821428571429,2.1880356487,1.358576471,1.94667429642
January,2010,1/1/2010,1.21052631579,0.75,0.757575757576,1.55864135736,1.12201986231,1.0739421301
June,2004,1/6/2004,1.04651162791,0.75,0.692307692308,1.68375947534,1.29903810568,0.951485913604
July,2013,1/7/2013,1.18181818182,0.864864864865,0.714285714286,2.09189699982,1.67915941265,1.38505138783
August,2002,1/8/2002,1.19230769231,0.809523809524,0.736842105263,2.36999238508,1.6364609788,1.4083250695
October,2005,1/10/2005,0.896551724138,0.681818181818,0.733333333333,1.44663289403,1.06114704818,1.18133634311
February,2006,1/2/2006,1.11627906977,0.71875,0.757575757576,2.12634966524,1.4412315697,1.39328047668
December,2014,1/12/2014,1.05769230769,0.714285714286,0.789473684211,2.59743558104,1.27775313,2.15404020312
April,2007,1/4/2007,1.05882352941,0.758620689655,0.7,1.45402436404,1.03907028782,0.842614977318
November,2001,1/11/2001,0.888888888889,0.636363636364,0.633333333333,1.32030673578,0.979120874024,0.948097510222
September,2011,1/9/2011,1.25714285714,0.766666666667,0.913043478261,2.08864764371,1.08576649833,1.86298132919
December,2003,1/12/2003,1.15517241379,0.8,0.833333333333,2.0494046582,1.30766968306,1.55711373207
May,2009,1/5/2009,1.16129032258,0.76,0.739130434783,1.74312981756,1.30476051442,1.15032665698
