Country,Month,Year, Day/month/year, Average Policy Change, Standard Deviation
Canada,May,2008,1/5/2008,-0.00392994470622, 0.029232488583
Lithuania,May,2008,1/5/2008,-0.000141931118393, 0.00125194934397
Slovenia,May,2008,1/5/2008,-0.000160138188876, 0.00270197462512
Germany,May,2008,1/5/2008,-0.0035546303598, 0.0290279495121
Spain,May,2008,1/5/2008,-0.00373871422299, 0.0273823437213
Netherlands,May,2008,1/5/2008,0.00325452284379, 0.0229969938078
New Zealand,May,2008,1/5/2008,-0.00034834554452, 0.00180198776513
Turkey,May,2008,1/5/2008,0.00412582241914, 0.0280728132249
Hungary,May,2008,1/5/2008,-0.000922872558878, 0.00928808576746
France,May,2008,1/5/2008,-0.0106781000465, 0.0389915354606
Slovakia,May,2008,1/5/2008,-0.00695511844875, 0.0141213650444
Norway,May,2008,1/5/2008,0.0110052928349, 0.018837453652
USA (EOIR),May,2008,1/5/2008,0.00435348404968, 0.012160432868
Finland,May,2008,1/5/2008,0.00260027838374, 0.00582858760275
Sweden,May,2008,1/5/2008,-0.0157169446275, 0.0438077336754
Australia,May,2008,1/5/2008,0.000188520800642, 0.00672484284097
Bulgaria,May,2008,1/5/2008,0.000639079004074, 0.00268571808465
Romania,May,2008,1/5/2008,0.00138205328959, 0.00835827076957
Czech Rep.,May,2008,1/5/2008,-0.00070481402902, 0.00329483264326
Portugal,May,2008,1/5/2008,0.000525206582959, 0.00349244796463
Liechtenstein,May,2008,1/5/2008,-5.48191700923e-05, 0.000433044341715
Austria,May,2008,1/5/2008,-0.00225965593903, 0.0126079769252
Japan,May,2008,1/5/2008,0.000543200312639, 0.00291405957716
Luxembourg,May,2008,1/5/2008,-0.000180720212816, 0.00587100495503
Ireland,May,2008,1/5/2008,-0.00105057517869, 0.00781542686136
USA (INS/DHS),May,2008,1/5/2008,-0.00486101897554, 0.0334397065136
Belgium,May,2008,1/5/2008,-0.000261825882517, 0.0123363705145
Poland,May,2008,1/5/2008,-0.0039922879441, 0.0144644184651
Switzerland,May,2008,1/5/2008,-0.00100442434217, 0.0178916038803
Cyprus,May,2008,1/5/2008,-0.00886354745288, 0.0135955296912
Italy,May,2008,1/5/2008,0.0557927187874, 0.0883818905395
Malta,May,2008,1/5/2008,-0.00114451237981, 0.0150826376442
United Kingdom of Great Britain and Northern Ireland,May,2008,1/5/2008,-0.0112630777326, 0.0299647600175
Iceland,May,2008,1/5/2008,0.00051322449247, 0.00159021562123
Denmark,May,2008,1/5/2008,-0.00102066638119, 0.00386989478487
Greece,May,2008,1/5/2008,-0.00135893148524, 0.0316374741316
Rep. of Korea,May,2008,1/5/2008,-0.000622026677774, 0.0038543800092
Canada,March,2003,1/3/2003,0.00644643965736, 0.0350769717763
Japan,March,2003,1/3/2003,-0.000393062578599, 0.000721162038262
Slovenia,March,2003,1/3/2003,0.00105149847209, 0.00597902766899
Germany,March,2003,1/3/2003,-0.0150330689033, 0.0443709435354
Spain,March,2003,1/3/2003,-0.00049120246279, 0.00992701803504
Netherlands,March,2003,1/3/2003,-0.00377114601083, 0.0286703108395
New Zealand,March,2003,1/3/2003,-7.4930869736e-05, 0.0021305636744
France,March,2003,1/3/2003,0.0397437380321, 0.0491513304946
Slovakia,March,2003,1/3/2003,-0.00708015752096, 0.0213962054498
Norway,March,2003,1/3/2003,0.00516406751023, 0.024879041105
USA (EOIR),March,2003,1/3/2003,0.00517405538799, 0.0142023799488
Finland,March,2003,1/3/2003,-0.000216522609208, 0.00464143376368
Sweden,March,2003,1/3/2003,0.00716097852484, 0.0412394087636
Australia,March,2003,1/3/2003,-0.00372635514481, 0.0313469695753
Bulgaria,March,2003,1/3/2003,0.000802761471665, 0.00751755975298
Romania,March,2003,1/3/2003,0.000299821618737, 0.003303358581
Czech Rep.,March,2003,1/3/2003,-0.00361669813626, 0.0185201444323
Portugal,March,2003,1/3/2003,-0.000350275555976, 0.00133276243151
Cyprus,March,2003,1/3/2003,-0.0017258574858, 0.00420558874019
Liechtenstein,March,2003,1/3/2003,0.000397209295082, 0.00143496771223
Austria,March,2003,1/3/2003,-0.00756176181038, 0.0288903699209
Hungary,March,2003,1/3/2003,-0.00524091003797, 0.0152294800654
Luxembourg,March,2003,1/3/2003,0.00136651405297, 0.00538079157068
Ireland,March,2003,1/3/2003,0.000957843474037, 0.00724310597166
USA (INS/DHS),March,2003,1/3/2003,0.000792682281725, 0.0487227474992
Belgium,March,2003,1/3/2003,-0.00125670122804, 0.0156559557626
Denmark,March,2003,1/3/2003,0.000957051554045, 0.00730350407097
Poland,March,2003,1/3/2003,0.005877403662, 0.0245866955202
Switzerland,March,2003,1/3/2003,-0.00582660799615, 0.0187148171895
Malta,March,2003,1/3/2003,0.00356579453647, 0.0133641571724
United Kingdom of Great Britain and Northern Ireland,March,2003,1/3/2003,-0.0290513431561, 0.0443244965781
Iceland,March,2003,1/3/2003,-7.536416591e-05, 0.00100078532469
Greece,March,2003,1/3/2003,0.00614690760991, 0.012626725284
Canada,April,2013,1/4/2013,-0.0109281588238, 0.0166378157236
Montenegro,April,2013,1/4/2013,0.000571791766397, 0.0104078054843
Lithuania,April,2013,1/4/2013,-0.00118475323969, 0.00510949546449
Serbia and Kosovo: S/RES/1244 (1999),April,2013,1/4/2013,0.0101254953145, 0.0130727077925
Slovenia,April,2013,1/4/2013,0.000545499010237, 0.00487660278911
Germany,April,2013,1/4/2013,0.0250850552212, 0.050372790548
Spain,April,2013,1/4/2013,0.00128576644879, 0.0177378766422
Netherlands,April,2013,1/4/2013,0.00068162808768, 0.0158886532179
New Zealand,April,2013,1/4/2013,4.56439404083e-05, 0.00193539613773
Turkey,April,2013,1/4/2013,0.0113269415884, 0.0419351308314
Hungary,April,2013,1/4/2013,0.0222122953859, 0.0348247665415
Cyprus,April,2013,1/4/2013,-0.00141626919389, 0.00482371314378
France,April,2013,1/4/2013,0.00579204571078, 0.0438177769564
Slovakia,April,2013,1/4/2013,-0.000891098470987, 0.0022233958147
Norway,April,2013,1/4/2013,-0.00125956739564, 0.0085866627627
USA (EOIR),April,2013,1/4/2013,0.00942557928587, 0.0428617171415
Finland,April,2013,1/4/2013,-0.00122157113919, 0.00484847878317
