Country,Month,Year,Average Policy Change, Standard Deviation
Canada,May,2008,-0.00497569628247,0.0319308245211
Germany,May,2008,0.0111416149541,0.0435540489519
Spain,May,2008,-0.0331798679341,0.0357799436878
Netherlands,May,2008,0.017390460027,0.0491090623167
Hungary,May,2008,-0.0657850145202,0.12443798553
France,May,2008,-0.0205922984362,0.0412824678102
Norway,May,2008,0.01791731249,0.0241955053805
USA (EOIR),May,2008,0.00548199182357,0.0273555132989
Finland,May,2008,0.0137970964164,0.0
Sweden,May,2008,-0.0163756353552,0.0519878183719
Australia,May,2008,-0.000404077213112,0.012884588127
Bulgaria,May,2008,0.00161751752939,0.0
Czech Rep.,May,2008,-0.0608701461977,0.036584431912
Cyprus,May,2008,-0.157217029848,0.226998641725
Austria,May,2008,-0.00364385495923,0.00841066014936
Japan,May,2008,0.0464514079193,0.0
Ireland,May,2008,-0.0083932407097,0.0
USA (INS/DHS),May,2008,0.00311380482035,0.0328511443547
Belgium,May,2008,0.000362472059911,0.0151233276334
Denmark,May,2008,0.00543796339394,0.000176373309751
Poland,May,2008,-0.115056061443,0.0
Switzerland,May,2008,0.006916621513,0.027298144919
Italy,May,2008,0.0798112626865,0.0864754083818
Malta,May,2008,-0.0414934103933,0.0207779171676
United Kingdom of Great Britain and Northern Ireland,May,2008,-0.0151674796266,0.033549356667
Greece,May,2008,-0.0144912355267,0.055059354958
Canada,March,2003,-0.0250147423382,0.0677024877088
Germany,March,2003,-0.0174576833074,0.055421622688
Spain,March,2003,-0.0171998176104,0.025122626739
Netherlands,March,2003,0.00996662821405,0.0393695146199
France,March,2003,0.0500672007752,0.0434226367723
Slovakia,March,2003,-0.0508507376724,0.0623502338806
Norway,March,2003,0.0225871955003,0.0386508394339
USA (EOIR),March,2003,0.0177110153753,0.0265532015477
Finland,March,2003,-0.0234594317123,0.0930174037502
Sweden,March,2003,-0.0174095177092,0.0960616846481
Australia,March,2003,0.0134756737742,0.000162802865359
Czech Rep.,March,2003,0.0167435831946,0.0521135496459
Cyprus,March,2003,-0.0355253884657,0.0
Austria,March,2003,-0.0146385432941,0.038507840416
Hungary,March,2003,-0.040914433859,0.0217002805243
Luxembourg,March,2003,-0.00606867002118,0.0
Ireland,March,2003,0.00901953407054,0.0289319798567
USA (INS/DHS),March,2003,0.0272890849683,0.0526191342444
Belgium,March,2003,-0.00692100131133,0.0220677186314
Denmark,March,2003,0.00943070650818,0.00683430463161
Poland,March,2003,0.0302311999943,0.0498643441047
Switzerland,March,2003,-0.0186886978575,0.0411086641858
United Kingdom of Great Britain and Northern Ireland,March,2003,-0.0621622774136,0.100737399079
Greece,March,2003,0.023962715685,0.0198077432465
Canada,April,2013,-0.101091413725,0.174878701497
Montenegro,April,2013,-0.0201741403976,0.0
Germany,April,2013,0.00511952733796,0.0674384133195
Spain,April,2013,0.0324285219743,0.0247941288526
Netherlands,April,2013,8.00415006664e-05,0.0249913638024
Hungary,April,2013,0.0917398827749,0.0908152746481
France,April,2013,-0.00373884992269,0.0507751569835
Norway,April,2013,-0.00259631167901,0.00757228130853
USA (EOIR),April,2013,0.0676010928024,0.0556172016807
Finland,April,2013,-0.00586272706376,0.0
Sweden,April,2013,-0.0174965247441,0.0539913639802
Australia,April,2013,-0.0316799530303,0.0496049877943
Bulgaria,April,2013,-0.0158390968809,0.018583230582
Cyprus,April,2013,-0.00395508825378,0.0
Austria,April,2013,0.00577002073139,0.0335215982546
Japan,April,2013,0.0428621965243,0.069776948524
USA (INS/DHS),April,2013,-0.00288562885292,0.0748288105493
Belgium,April,2013,-0.0170772625339,0.0240278047291
Denmark,April,2013,-0.00553012507957,0.0162881580622
Poland,April,2013,0.0100849002029,0.111271732188
Switzerland,April,2013,-0.00175799337308,0.0278457040925
Italy,April,2013,-0.00838910621305,0.042089963568
Malta,April,2013,0.0156089261742,0.0470513897074
United Kingdom of Great Britain and Northern Ireland,April,2013,-0.00398681539315,0.028996973015
Greece,April,2013,-0.0233625533496,0.0349953293852
Canada,September,2016,0.0333467696885,0.0648739273069
Japan,September,2016,0.00502582764238,0.0427266340346
Germany,September,2016,0.0420197463015,0.0840145206031
Spain,September,2016,0.0259725136702,0.0157334956374
Netherlands,September,2016,0.0193012294557,0.0727381923784
France,September,2016,-0.00152690256252,0.0845978943692
Norway,September,2016,0.00113665963952,0.0
USA (EOIR),September,2016,-0.234006500503,0.227072803094
Finland,September,2016,-0.00465704157596,0.00684527404797
Sweden,September,2016,-0.000369747090719,0.0142295538744
Australia,September,2016,-0.258767301976,0.363122679156
Bulgaria,September,2016,0.011473042134,0.00711158497603
Romania,September,2016,0.00253453852886,0.0
Czech Rep.,September,2016,0.017451534576,0.0
Portugal,September,2016,0.00197896466781,0.0
Cyprus,September,2016,0.00246097448524,0.0
Austria,September,2016,-0.0143621161249,0.0210972225165
Hungary,September,2016,-0.0489627951446,0.0251535612495
USA (INS/DHS),September,2016,0.0777604625284,0.17004197975
Belgium,September,2016,0.00256490776621,0.0088102924269
Denmark,September,2016,-0.000824514527713,0.00132778427632
Poland,September,2016,-0.108631968325,0.101946859204
Croatia,September,2016,0.000922019809704,0.000422920331924
Switzerland,September,2016,-0.0123816378176,0.0201987762514
Italy,September,2016,0.0193762464561,0.0516141697051
Malta,September,2016,-0.0405875800613,0.0
United Kingdom of Great Britain and Northern Ireland,September,2016,-0.00100339555713,0.0221873674105
Greece,September,2016,-0.0185512361386,0.0103830361375
Rep. of Korea,September,2016,-0.0112344353015,0.0225868669079
Canada,January,2006,0.00245679912229,0.0505431597136
Slovenia,January,2006,-0.0112961867841,0.0
Germany,January,2006,-0.0112552374489,0.032592950594
Spain,January,2006,-0.106324967335,0.104221740639
Netherlands,January,2006,0.0211650078554,0.0951438251088
France,January,2006,-0.0030606018238,0.0844344107912
Norway,January,2006,0.00284978243491,0.0124179967355
USA (EOIR),January,2006,0.00300422651691,0.0784349187305
Finland,January,2006,0.012753674471,0.00417121691338
Sweden,January,2006,0.00226105798285,0.0444717660527
Australia,January,2006,-0.010747004094,0.0
Czech Rep.,January,2006,-0.141087997571,0.154976286684
Cyprus,January,2006,-0.0430023237363,0.0234730574153
Austria,January,2006,-0.0637010348682,0.0402740500511
Ireland,January,2006,0.027002056948,0.021517832859
USA (INS/DHS),January,2006,-0.0224321165016,0.0618048048637
Belgium,January,2006,-0.0115714663071,0.11447464117
Poland,January,2006,-0.0619708022182,0.0
Switzerland,January,2006,0.00598147744738,0.0319620564254
Malta,January,2006,-0.0532566721016,0.0
United Kingdom of Great Britain and Northern Ireland,January,2006,0.0276301562234,0.0540151244215
Greece,January,2006,0.0389816768947,0.0617242859232
Canada,June,2008,0.000998732500183,0.0715801394289
Germany,June,2008,0.00718139223709,0.0374999100567
Spain,June,2008,-0.0649898950674,0.0599330162074
Netherlands,June,2008,0.0103967344444,0.0610489764129
Hungary,June,2008,-0.00927354562763,0.0180604548405
France,June,2008,0.0248600403277,0.0577483493288
Norway,June,2008,0.0103267136827,0.0211566733795
USA (EOIR),June,2008,-0.02227169129,0.0558510665998
Finland,June,2008,0.00820128879657,0.0
Sweden,June,2008,-0.0308163456574,0.0482508221985
Australia,June,2008,-0.003920396948,0.0102088839529
Bulgaria,June,2008,-0.00671275611802,0.0
Czech Rep.,June,2008,-0.012656496426,0.0544866435193
Cyprus,June,2008,-0.0415129686749,0.0283976612808
Austria,June,2008,-0.00717710030975,0.021199106084
Japan,June,2008,0.00469810335827,0.0
Ireland,June,2008,-0.00583922176872,0.0
USA (INS/DHS),June,2008,-0.0234652382687,0.0601660183402
Belgium,June,2008,0.00110859757819,0.0188419406063
Denmark,June,2008,0.00207972022738,0.0
Poland,June,2008,-0.0451346851387,0.0
Switzerland,June,2008,0.0254853041765,0.032930645208
Italy,June,2008,0.0407688326201,0.0945357180835
Malta,June,2008,0.0212037433353,0.0
United Kingdom of Great Britain and Northern Ireland,June,2008,-0.0129774183065,0.0334881968824
Greece,June,2008,-0.00647200375728,0.0801860524021
Canada,August,2009,-0.0821078967824,0.17715405447
Germany,August,2009,0.0310557629355,0.0431260233722
Spain,August,2009,0.00526009029537,0.0
Netherlands,August,2009,-0.0116223320701,0.0284526292899
Hungary,August,2009,-0.00632901461646,0.0347920622045
France,August,2009,-0.00616144221364,0.0676568548061
Norway,August,2009,0.0251866272012,0.0288773961116
USA (EOIR),August,2009,-0.0586128886458,0.0815461367499
