Country,Month,Year,positive_change,negative_change
Canada,January,2000,0.00487581274731,0.0261116318779
Canada,February,2000,0.00297348526408,0.0163527220241
Canada,March,2000,0.0039558810689,0.0169595237797
Canada,April,2000,0.00633058557674,0.0112414627197
Canada,May,2000,0.0118477180795,0.00564379571417
Canada,June,2000,0.0124491562372,0.00367185152193
Canada,July,2000,0.0117672468158,0.00648880191054
Canada,August,2000,0.010755499773,0.00757982607095
Canada,September,2000,0.0163029173401,0.00276135876398
Canada,October,2000,0.0105985422971,0.00712259950471
Canada,November,2000,0.00515536479159,0.014034188232
Canada,December,2000,0.00495569807985,0.0120887214235
Canada,January,2001,0.00420738719688,0.0163513306294
Canada,February,2001,0.00685687780474,0.00971331314683
Canada,March,2001,0.00531227593477,0.01042145411
Canada,April,2001,0.00918549823122,0.00840256659659
Canada,May,2001,0.0117213855572,0.00458857722757
Canada,June,2001,0.00693178661058,0.00771359382228
Canada,July,2001,0.0138155588092,0.00574797485606
Canada,August,2001,0.0101316590372,0.00867611409529
Canada,September,2001,0.0060299741203,0.0109537799521
Canada,October,2001,0.00581907418117,0.011684415877
Canada,November,2001,0.00657387458608,0.0121859423597
Canada,December,2001,0.00626168946063,0.0164601750178
Canada,January,2002,0.00202682967498,0.0246796205749
Canada,February,2002,0.00219362680972,0.0165964810808
Canada,March,2002,0.00431957797631,0.0106634915655
Canada,April,2002,0.0101314418613,0.00391802654435
Canada,May,2002,0.0105337600154,0.00485084637441
Canada,June,2002,0.0179021309685,0.00559778531533
Canada,July,2002,0.00883839382342,0.00854683231739
Canada,August,2002,0.00485922094393,0.0144508674681
Canada,September,2002,0.00979298795899,0.00912432203559
Canada,October,2002,0.0119860875612,0.00527925859995
Canada,November,2002,0.0157491079991,0.007711225933
Canada,December,2002,0.00977734036375,0.0111997799254
Canada,January,2003,0.0138926939725,0.00927980603637
Canada,February,2003,0.0119724877736,0.0121488414357
Canada,March,2003,0.00722533887487,0.00883101337834
Canada,April,2003,0.0131739333827,0.00914624850722
