Country,Month,Year,positive_change,negative_change
Canada,January,2000,8.09559314192e-05,0.000537815344808
Canada,February,2000,1.51567813592e-05,0.000396989613098
Canada,March,2000,4.33243019275e-05,0.000424614373981
Canada,April,2000,5.82900983636e-05,0.000320712253028
Canada,May,2000,0.000108764013563,0.000170173869176
Canada,June,2000,0.000173209759305,0.000114610625708
Canada,July,2000,0.000279030491006,0.000102221784919
Canada,August,2000,0.000205287016421,0.0001030591218
Canada,September,2000,0.000387256388817,2.493965871e-05
Canada,October,2000,0.000195370361908,6.20222600027e-05
Canada,November,2000,5.58806397656e-05,0.000180976399056
Canada,December,2000,7.18147469106e-05,0.000122262606085
Canada,January,2001,3.93809725995e-05,0.000246775175249
Canada,February,2001,8.14782410713e-05,0.000199265988454
Canada,March,2001,3.44275732264e-05,0.000235940254065
Canada,April,2001,0.000123790011408,0.000194128270538
Canada,May,2001,0.000183803469065,7.47594070302e-05
Canada,June,2001,8.55013807773e-05,0.000110571112986
Canada,July,2001,0.000263125227338,0.000124319027379
Canada,August,2001,0.000139766540043,9.26885370844e-05
Canada,September,2001,8.79279536358e-05,0.000140141436899
Canada,October,2001,8.96554672757e-05,0.000164074940107
Canada,November,2001,8.87322253196e-05,0.000199459784482
Canada,December,2001,7.56607217719e-05,0.000311553557505
Canada,January,2002,1.20955109524e-05,0.000440904105114
Canada,February,2002,1.58688927249e-05,0.000414623027305
Canada,March,2002,3.43077315399e-05,0.000309348068727
Canada,April,2002,5.9520762883e-05,0.000151794019251
Canada,May,2002,0.000121612485078,0.000119319768437
Canada,June,2002,0.000398666272028,7.52385477978e-05
Canada,July,2002,0.000134440433476,6.1701635529e-05
Canada,August,2002,6.60594034377e-05,0.000155716185494
Canada,September,2002,0.000134562791084,0.00011591610144
Canada,October,2002,0.000147731351439,9.9821605882e-05
Canada,November,2002,0.000205893021912,0.000144744824949
Canada,December,2002,0.000123801140539,9.37558587373e-05
Canada,January,2003,0.000253286566659,7.70126349777e-05
Canada,February,2003,0.000299853033292,0.000134101408772
Canada,March,2003,0.000147701254697,0.000111016391782
Canada,April,2003,0.000168935909437,0.000104779027012
Canada,May,2003,0.000180761596055,0.000197304059774
Canada,June,2003,7.90346075693e-05,0.000272031357393
Canada,July,2003,8.85527386582e-05,0.000236215063341
Canada,August,2003,0.000106258193088,0.0002152137178
Canada,September,2003,0.000135119999899,0.000196949241582
Canada,October,2003,0.00011851318013,0.000148431740209
Canada,November,2003,0.000210642257837,0.000167599967779
Canada,December,2003,0.000103566844951,0.000167399759315
Canada,January,2004,0.000182400438863,4.66472360513e-05
Canada,February,2004,0.000124365940184,8.38876467223e-05
Canada,March,2004,5.62793679538e-05,0.000111402353625
Canada,April,2004,4.50402147183e-05,0.000177077196809
Canada,May,2004,0.000158600799146,6.93393308819e-05
Canada,June,2004,0.00016098092774,0.000186384314736
Canada,July,2004,0.000157621894615,9.63723067095e-05
Canada,August,2004,0.000304775950387,2.84940310232e-05
Canada,September,2004,0.000169967173788,7.03220976855e-05
Canada,October,2004,0.000193769332114,7.146216336e-05
Canada,November,2004,0.000233989850606,3.84219400486e-05
Canada,December,2004,0.000465768249068,5.42633379405e-05
Canada,January,2005,0.000109582507764,0.000234084073137
Canada,February,2005,0.000106347300094,0.000261854028954
Canada,March,2005,4.46819922799e-05,0.000464685383268
Canada,April,2005,6.82726348262e-05,0.000289458100522
Canada,May,2005,4.92402992633e-05,0.000365143103572
Canada,June,2005,5.41254793556e-05,0.000310680229682
Canada,July,2005,0.000232298092301,9.69304174912e-05
Canada,August,2005,0.000231639761901,0.000102407006896
Canada,September,2005,0.000391799676333,3.32528802739e-05
Canada,October,2005,0.000315592439787,0.000111655613773
Canada,November,2005,0.000315965673557,6.28985712136e-05
Canada,December,2005,0.000108270905327,0.000143531561003
Canada,January,2006,0.000257742385821,0.000138189651368
Canada,February,2006,0.000124209204498,0.000231936409227
Canada,March,2006,0.000123391619519,0.000284321231106
Canada,April,2006,0.000148711775406,0.00021095661964
Canada,May,2006,0.000127795038184,0.000180296175146
Canada,June,2006,0.000177991881267,0.0002112049994
Canada,July,2006,0.000253720491446,0.000110314047149
Canada,August,2006,0.00051025157944,8.49763789867e-05
Canada,September,2006,0.000532763973717,0.000143880974674
Canada,October,2006,0.000112940350806,0.000198762177226
Canada,November,2006,0.000374198385973,0.0002450098904
Canada,December,2006,0.000133802365024,0.000442858366553
Canada,January,2007,0.00027237412181,0.000215103927375
Canada,February,2007,0.000112227635339,0.000323038771001
Canada,March,2007,0.000124635646384,0.000299360180309
Canada,April,2007,0.000121244405455,0.000338301159806
Canada,May,2007,4.19557670263e-05,0.000186247421145
Canada,June,2007,0.000263572432253,0.000147826209394
Canada,July,2007,0.000480629669635,0.00010019668048
Canada,August,2007,0.000769098965009,0.00022618664125
Canada,September,2007,0.000784078359136,6.27871941567e-05
Canada,October,2007,0.000575111643325,4.43889967924e-05
Canada,November,2007,0.00051343738273,3.27751504501e-05
Canada,December,2007,0.000271617237966,0.000203602481177
Canada,January,2008,0.000273764466652,0.000114788528108
Canada,February,2008,0.000159178637139,0.000336645341198
Canada,March,2008,0.000147490585485,0.000352584788914
Canada,April,2008,9.70996514765e-05,0.000220531996996
Canada,May,2008,6.78038490514e-05,0.000278350466846
Canada,June,2008,0.000124121551702,0.000211011199054
Canada,July,2008,0.000189645406708,0.000110735750969
Canada,August,2008,0.000328097944452,0.000146092171118
Canada,September,2008,0.000254649405455,5.98460225472e-05
Canada,October,2008,0.000198590084411,6.77200516475e-05
Canada,November,2008,0.000186661714225,9.45425485529e-05
Canada,December,2008,5.27379437181e-05,0.000324458490042
Canada,January,2009,0.000166715234967,0.000205917772336
Canada,February,2009,0.000125583919595,0.000232573358511
Canada,March,2009,8.17528375384e-05,0.000176146226446
Canada,April,2009,4.6487380567e-05,0.000301169276379
Canada,May,2009,4.47930213874e-05,0.000300956296525
Canada,June,2009,0.000200956264769,0.000165695507325
Canada,July,2009,0.000115500421022,0.000268339415947
Canada,August,2009,9.31859181707e-05,0.000274859612716
Canada,September,2009,0.000200734498238,0.000246276402675
Canada,October,2009,0.000255951887054,0.00024198864346
Canada,November,2009,0.000109431635517,0.000251518720759
Canada,December,2009,5.45872117176e-05,0.000228471441132
Canada,January,2010,0.000197171086402,0.000189594961044
Canada,February,2010,0.000195957294806,0.000223015694873
Canada,March,2010,0.000144679438659,0.000233827450082
Canada,April,2010,0.000125464831617,0.000169811309355
Canada,May,2010,0.000137183853378,0.000217350142623
Canada,June,2010,6.52114299175e-05,0.000365107965837
Canada,July,2010,0.000120860788102,0.000205601616903
Canada,August,2010,0.000647737495143,0.000226829465137
Canada,September,2010,0.000173738473508,0.000270655968347
Canada,October,2010,4.98855872833e-05,0.000255956758558
Canada,November,2010,0.000176062964325,0.000185330633806
Canada,December,2010,0.000124805118524,0.000184221389023
Canada,January,2011,0.000112503730804,0.000198821265595
Canada,February,2011,6.20920184541e-05,0.000332597914369
Canada,March,2011,6.80928316155e-05,0.000225117283469
Canada,April,2011,2.45447974461e-05,0.000236344450445
Canada,May,2011,3.28633144978e-05,0.000279835340893
Canada,June,2011,4.13350851773e-05,0.000214922452588
Canada,July,2011,3.7588001342e-05,0.000204189313498
Canada,August,2011,0.000118565674978,7.71810867676e-05
Canada,September,2011,0.000235518651661,5.69013772108e-05
Canada,October,2011,0.000159680042118,7.01958573579e-05
Canada,November,2011,0.00017536286525,6.88783144281e-05
Canada,December,2011,6.3852365001e-05,0.000184540321453
Canada,January,2012,5.65911738838e-05,0.00015314765045
Canada,February,2012,7.54223304975e-05,0.000138301728326
Canada,March,2012,3.26196538256e-05,0.000182239910423
Canada,April,2012,7.00124817961e-05,0.000176626313762
Canada,May,2012,5.60818948647e-05,0.000149310660754
Canada,June,2012,6.53076661759e-05,0.000126433333073
Canada,July,2012,6.42586836306e-05,0.000117126079691
Canada,August,2012,2.10113324528e-05,0.000130022847952
Canada,September,2012,0.00014512213466,8.22494200788e-05
Canada,October,2012,9.87684446754e-05,8.32274453551e-05
Canada,November,2012,0.00010749228635,3.38196676906e-05
Canada,December,2012,5.40940466044e-05,8.45514624319e-05
Canada,January,2013,1.37068306255e-05,0.000259098691362
Canada,February,2013,2.25958283737e-05,0.000231433155069
Canada,March,2013,1.56595775923e-05,0.000228901466459
Canada,April,2013,3.2894981186e-05,0.000144501149226
Canada,May,2013,2.45211168458e-05,9.92516199556e-05
Canada,June,2013,2.42558171285e-05,7.91567067401e-05
Canada,July,2013,3.59130058006e-05,5.81018656826e-05
Canada,August,2013,5.66186018225e-05,5.0087042259e-05
Canada,September,2013,9.36871055011e-05,3.90581602904e-05
